tgl;jumlah;harga;isian;tuan;hiasan;stiker;warna;dp;ongkir
20/01/2025;900;6000;28;x;tali;kresno;campuran; ;
05/01/2025;500;6500;;e;paper;kresno;campuran;;
05/01/2025;100;8500;;e;paper;kresno;campuran;;
05/01/2025;60;6000;;t;paper;kresno;campuran;;
13/01/2025;450;6500;;s;paper;kresno;campuran;;
15/01/2025;900;5000;;a;tanpa pita;kresno;campuran;;
15/01/2025;350;8000;28;q;kipas;kresno;campuran;;50000
04/01/2025;600;6500;;w;paper;kresno;2 warna;;
15/01/2025;750;6000;;e;tali;kresno;campuran;;
16/01/2025;700;6500;;t;paper;kresno;campuran;;
28/01/2025;300;6500;;q;kipas;manten;campuran;;
30/01/2025;700;7500;28;w;tali;kresno;campuran;1000000;
30/01/2025;1000;8500;;e;tali;kresno;2 warna;;
15/01/2025;200;4500;;r;kipas;kresno;campuran;;50000
;100;6500;;r;kipas;kresno;campuran;;
;400;7500;;w;tali;kresno;campuran;;
;200;8500;;w;tali;kresno;2 warna;;
26/01/2025;250;8500;;q;tali;kresno;campuran;;
;200;6000;;q;tali;kresno;campuran;;
;200;8500;;t;tali;kresno;campuran;;
;720;8500;;r;tali;kresno;campuran;;
;240;11500;;r;tali;kresno;campuran;;
09/02/2025;100;6000;;t;tali;kresno;campuran;;
10/02/2025;150;8500;;r;tali;kresno;campuran;;
10/02/2025;250;6000;;r;tali;kresno;campuran;;
10/02/2025;650;6000;;w;tali;kresno;campuran;;
13/02/2025;500;7500;;s;tali;manten;campuran;;
13/02/2025;300;6500;;s;paper;manten;campuran;;
15/02/2025;100;11500;;t;tali;kresno;campuran;;50000
21/02/2025;100;11500;;y;tali;kresno;1 warna;;
;150;6000;;y;tali;kresno;campuran;;
;150;6000;;y;tali;kresno;campuran;;
;200;7500;;s;tali;kresno;campuran;;
;50;11500;;o;tali;kresno;campuran;;
01/03/2025;100;8500;;e;tali;kresno;campuran;;
01/03/2025;200;11500;;e;tali;kresno;campuran;;
01/03/2025;1200;11500;;r;tali;kresno;campuran;;
30/03/2025;130;6500;;w;paper;kresno;campuran;;
07/03/2025;130;11500;;t;tali;kresno;campuran;;50000
29/03/2025;800;4500;;y;kipas;kresno;campuran;;150000
;1000;8500;;s;tali;kresno;campuran;;
;1000;8500;;d;tali;kresno;campuran;;
01/03/2025;150;11500;;s;tali;kresno;campuran;;
17/03/2025;30;600;;m;tali;kresno;campuran;;
;50;7500;;d;tali;kresno;campuran;;
;25;11500;;s;tali;kresno;campuran;;
01/03/2025;400;8500;34;a;tali;kresno;campuran;;100000
24/03/2025;365;8000;28;e;kipas;kresno;campuran;300000;50000
01/03/2025;50;6500;23;n;kipas;kresno;campuran;;
27/03/2025;800;8500;34;l;tali;kresno;campuran;;
05/04/2025;300;6000;23;e;tali;kresno;campuran;;50000
23/04/2025;1500;6500;23;;paper;kresno;campuran;;150000
05/04/2025;1600;6500;23;r;paper;kresno;campuran;4000000;
19/04/2025;750;6000;23;z;tali;kresno;campuran;;150000
13/04/2025;300;6500;23;k;paper;kresno;campuran;;
19/04/2025;100;6500;23;n;paper;manten;campuran;;
